Chr	Position	TraitA	TraitB
1	1571852	0.00166776	0.00326394
1	1581113	0.000572267	-0.00322994
1	1583107	0.000997945	-0.00274544
1	1584358	0.00229179	0.00231764
1	1585123	-0.00242007	5.54E-05
1	1585904	-0.00242007	5.54E-05
1	1587057	-0.000398438	0.00481994
1	1603766	0.000352136	0.00306728
1	1604940	0.000528942	0.000971429
1	1606992	0.00152022	0.00122373
1	1616465	0.000401923	0.00326961
1	1621844	0.00129972	0.00381046
1	1623919	0.000239781	-0.00130078
1	1625016	0.000239781	-0.00130078
1	1627573	-0.00012269	0.000597402
1	1631646	0.00101119	-0.00844988
1	1635820	0.0011975	0.00156992
1	1640583	0.00044629	-0.00175424
1	1645713	0.00224405	-0.000419135
1	1646535	-0.00139983	0.00360621
1	1647124	0.000726314	0.000460657
1	1652278	-0.00139983	0.00360621
1	1657620	0.000440437	0.000555886
1	1658441	-0.0013663	0.00390069
1	1659320	0.000513851	0.000757845
1	1669596	-0.00142153	0.00232713
1	1670555	-0.00142153	0.00232713
1	1676756	0.00087033	0.00368709
1	1677733	0.00087033	0.00368709
1	1679300	0.000454595	0.00674633
1	1679839	0.000146476	0.00479485
1	1680611	0.000914291	0.00562499
1	1687569	0.00192809	0.00863384
1	1688036	-0.000287746	0.00289688
1	1688556	0.000454595	0.00674633
1	1689348	-0.00163142	0.00826471
1	1692585	-0.00186223	0.00514523
1	1696195	0.00237965	0.00473687
1	1698908	0.00210962	0.00473687
1	1702060	0.000342578	0.00195067
1	1706307	0.000850061	0.00351127
1	1712040	0.00237965	0.00473687
1	1715482	-0.00338099	0.00364537
1	1721138	0.00106184	0.00345189
1	1724273	0.00113839	0.00391516
1	1727279	0.00132773	0.00281826
1	1730547	-0.000760318	0.000892828
1	1733691	0.00106184	0.00345189
1	1736739	0.000209106	0.0034583
1	1741712	0.00368315	0.000846709
1	1745428	0.00266277	0.00242793
1	1746860	-0.00413024	-0.000910842
1	1749998	0.00206391	0.0018076
1	1752601	0.00232044	-0.00134475
1	1754968	0.000517203	0.0034583
1	1757597	0.00206391	0.00182861
1	1761967	0.000382597	0.0034583
1	1765043	0.00206391	0.00182861
1	1774342	0.00206391	0.00154165
1	1778134	0.00232044	-0.00134475
1	1781251	0.00206391	0.00153585
1	1784777	0.000382597	0.00348927
1	1789176	-0.00282852	-0.000815056
1	1792053	0.00254459	0.00152992
1	1794912	0.000517203	0.00348927
1	1802755	-0.000499311	0.00491051
1	1809526	0.00225125	0.00153525
1	1810539	0.0025414	0.00333123
1	1814809	-0.00107466	-0.00226117
1	1817641	-0.000440638	0.004924
1	1830748	0.00364691	-0.00264376
1	1834781	0.0124323	0.000475187
1	1836176	0.000223563	0.00220519
1	1839436	0.000667373	0.00531398
1	1840531	0.000667373	0.00531398
1	1842371	0.000365984	0.00531398
1	1845302	-0.00291543	-0.00396303
1	1848439	0.000959883	0.00241278
1	1849789	0.000572458	0.00523967
1	1852426	0.000572458	0.00523967
1	1858907	-0.000861231	-0.00167636
1	1863496	-0.00150961	0.00538732
1	1870172	0.00289757	0.00463108
1	1878022	0.0027765	0.0026642
1	1883132	-0.00284056	-0.00269513
1	1886288	0.00281483	0.00463108
1	1890322	0.00281483	0.00463108
1	1895011	0.00168486	0.00285187
1	1898967	0.000625165	-0.000157584
1	1902511	-0.00141656	0.0025301
1	1905322	0.000392866	0.00320822
1	1917241	-0.00164778	0.00466168
1	1923521	0.00533752	0.000940628
1	1929664	-0.00213688	0.0024505
1	1939946	0.000392866	0.00320822
1	1951811	0.00236393	0.000834516
1	1955537	-0.00228523	0.00332537
1	1960281	-0.00228523	0.00332537
1	1966040	-0.00228523	0.00332537
1	1968406	-0.00228523	0.00332537
1	1975502	0.000520314	0.00299652
1	1979359	0.000770178	0.00525505
1	1983510	-0.00228523	0.00332537
1	1989195	-0.000760064	0.00365547
1	1994717	0.00100473	0.0053653
1	1997766	-0.000402977	0.0032823
1	2003168	-0.000760064	0.00365547
1	2004090	0.000520314	0.00299652
1	2010236	-0.000760064	0.00365547
1	2014143	-0.000760064	0.00365547
1	2015519	-0.000760064	0.00365547
1	2023751	-0.00220528	0.00337163
1	2024917	-0.00220528	0.00337163
1	2028842	3.34E-05	0.00317579
1	2033795	0.00143011	-0.00418555
1	2036130	-0.000760064	0.00365547
1	2041271	-0.000760064	0.00365547
1	2051702	-0.00208765	0.00337163
1	2061500	0.00242875	0.000555423
1	2065249	0.00242875	0.000555423
1	2068690	-0.00208765	0.00337163
1	2072804	-0.00122751	0.00389964
1	2076521	0.000745388	-0.0086284
1	2080939	-0.00204329	0.00232416
1	2081569	-0.00331394	-0.00203213
1	2082139	-0.00208765	0.00337163
1	2083045	-0.00306748	-0.00196261
1	2084542	-0.00306748	-0.00196261
1	2086121	-0.00306748	-0.00196261
1	2087561	-0.00306748	-0.00196261
1	2088539	-0.0028385	0.00199961
1	2096344	-0.00211474	0.00397504
1	2099121	-0.00216593	0.00394372
1	2101917	0.00171769	-0.00126289
1	2109084	-0.000323025	0.00526331
1	2111650	0.000628753	0.0062881
1	2114078	0.0035828	0.00246343
1	2114728	-0.000351385	0.0045812
1	2119684	0.00285276	0.00364431
1	2124922	-0.000880514	0.00455169
1	2128341	0.000844096	0.00435346
1	2133465	-0.0012868	0.00441992
1	2136192	-0.000345872	0.00356135
1	2141449	0.00239651	-0.00252809
1	2144711	0.00184786	-0.000143862
1	2150441	-0.000354196	0.00557921
1	2155626	-0.000552967	0.00468269
1	2158691	0.00063719	0.00374616
1	2163137	-0.00137368	0.00138812
1	2172213	0.000713337	0.0017596
1	2176003	0.00367173	-0.00393795
1	2180053	0.00136275	-0.00401457
1	2192489	0.00076892	0.00242215
1	2199137	0.000793446	0.000866131
1	2207979	0.000450327	0.00134736
1	2214296	0.00080513	0.00145526
1	2217631	0.00110424	-0.0035152
1	2221312	0.000450327	0.00134736
1	2229077	-0.00249059	0.00361237
1	2233225	0.000838216	0.000885322
1	2235492	-0.00131829	0.0017702
1	2239860	-0.00166596	0.000953158
1	2240729	-0.00166596	0.000953158
1	2241969	-0.00174335	0.00119148
1	2242838	-0.00174335	0.00119148
1	2244381	-0.00174335	0.00119148
1	2245427	-0.00174335	0.00119148
1	2246213	-0.00174335	0.00119148
1	2246818	-0.00174335	0.00119148
1	2247614	-0.00174335	0.00119148
1	2248333	-0.00174335	0.00119148
1	2248930	-0.00174335	0.00119148
1	2250307	-0.00117034	0.00102018
1	2251619	0.00369522	-0.00181302
1	2255252	0.00369522	-0.00181302
1	2256758	0.00169016	-0.00558272
1	2257731	0.0013929	-0.00564788
1	2261566	0.00146278	-0.00538036
1	2262467	0.00340375	-0.00488529
1	2263230	-0.00202436	0.00156395
1	2266365	0.00303364	-0.00251917
1	2271642	-0.00163252	0.00119148
1	2273913	-0.00163252	0.00119148
1	2275507	1.81E-05	-0.00340024
1	2276379	0.00172084	-0.00564092
1	2277019	-0.00253423	0.00176396
1	2279667	-0.00119962	0.000394428
1	2283350	0.00731337	0.00307836
1	2284595	0.00737529	0.00325451
1	2285656	-6.69E-05	-0.0023787
1	2286456	0.00611035	0.00741276
1	2287422	0.00611035	0.00741276
1	2290833	-0.000547346	-0.00237854
1	2291600	0.00625665	0.00202375
1	2292393	0.0044255	0.0013254
1	2293205	0.0044255	0.0013254
1	2293987	0.0044255	0.00108482
1	2294805	0.0044255	0.00108482
1	2298740	0.00439654	0.00108482
1	2299194	0.00439654	0.00108482
1	2302955	-0.000843507	0.00239322
1	2303583	0.00447748	0.00140593
1	2304040	0.00639905	0.00177272
1	2305128	-0.000827549	0.00303001
1	2307956	-0.00107327	0.00630363
1	2310667	0.000905164	0.00575268
1	2313186	-0.000796944	0.004726
1	2321768	0.000100094	0.00169185
1	2324785	-0.000104568	0.000561845
1	2332754	-0.000594769	0.00503336
1	2336135	-0.000664135	0.00481781
1	2344023	-0.000786803	-0.00396798
1	2353140	0.00143992	0.00649918
1	2359218	0.00154856	0.00649918
1	2363479	0.00189146	0.00324033
1	2374280	-0.000985044	-0.00467625
1	2375467	-0.00102495	-0.00299831
1	2379674	-0.00263728	-0.00520004
1	2384097	0.00106479	0.00149809
1	2388417	0.00164826	-0.000356785
1	2393796	0.00402864	-0.000975323
1	2396784	4.41E-05	0.00377061
1	2404092	0.00170544	-0.000317351
1	2407778	0.00158462	0.00656047
1	2413187	-5.19E-06	0.000233223
1	2416447	0.00200585	0.00392329
1	2422438	0.00200851	0.00392329
1	2425663	0.000906403	0.00282691
1	2429192	0.00586265	-0.00551912
1	2432729	0.00412595	-0.00481042
1	2440864	-0.00115057	0.00509004
1	2445051	0.00340724	0.000417258
1	2448336	0.00468923	-0.0061596
1	2455486	0.00163693	-0.000335385
1	2462288	-0.00037575	-0.00353739
1	2465308	0.00138035	0.00109315
1	2468447	0.000169558	-0.00493695
1	2472607	0.00138035	0.00109315
1	2479646	-0.00103936	0.00375699
1	2482685	-0.000813055	0.00530904
1	2484658	-0.00118898	0.00500446
1	2490945	-0.00146929	-0.0127361
1	2495039	2.95E-05	0.00562673
1	2498526	2.95E-05	0.00562673
1	2507159	0.000243183	0.00623062
1	2516434	-0.000536212	-0.00854784
1	2520976	2.95E-05	0.00562673
1	2524170	0.00171671	-6.82E-05
1	2531404	-0.00067898	0.00143106
1	2535083	0.00102096	0.000790205
1	2540189	-0.00204478	0.000598025
1	2548682	-0.000499033	0.000843466
1	2557583	-0.000530285	-0.00237447
1	2561758	-0.000530285	-0.00237447
1	2574098	1.48E-06	0.00522177
1	2581964	1.48E-06	0.00522177
1	2588210	1.48E-06	0.00522177
1	2589312	-7.13E-05	0.00499694
1	2592362	-0.00122039	0.00228874
1	2594963	-0.00122039	0.00228874
1	2606824	-0.000191953	-0.00210177
1	2607582	-0.000141781	-0.00182095
1	2608332	-0.00653564	-0.000181887
1	2610578	-0.000189919	-0.00175035
1	2614630	-0.000261123	-0.00221651
1	2617150	-0.000143177	-0.00217242
1	2624808	-0.00476499	0.00092221
1	2626516	-0.00438135	-0.00132471
1	2629152	-0.00339572	-0.00585967
1	2633403	-0.00155464	-0.00120132
1	2637239	-0.000132087	0.00522177
1	2641517	-0.00198521	0.000641434
1	2645413	-0.004178	-0.00145808
1	2652685	-0.000356056	0.00490767
1	2658776	-0.000164164	0.00882472
1	2670399	-0.00887899	0.00271995
1	2684256	-0.00859583	0.00360926
1	2687430	0.00333338	-0.0170554
1	2695515	0.0029311	-0.00301953
1	2698904	-0.00765685	0.00296833
1	2699455	-0.00765685	0.00296833
1	2703664	-0.00193443	0.00737471
1	2707688	0.0039159	4.69E-05
1	2714762	-0.00139983	0.00479155
1	2719642	0.00102863	-0.000156606
1	2724365	0.00102863	-0.000178787
1	2728889	0.00722127	-0.0101639
1	2733184	-0.000706455	-0.00075976
1	2738165	-0.000164164	0.00882472
1	2743449	-0.00431199	0.00371748
1	2746233	-0.00656326	0.00674952
1	2749113	-0.00208531	0.00460883
1	2750919	-0.00812153	0.00353944
1	2751701	-0.00812153	0.00353944
1	2752599	0.00194011	-0.00303901
1	2757434	0.00149921	0.000773991
1	2760325	0.00143795	0.000748378
1	2761959	0.00241908	0.000560136
1	2767613	0.00173817	0.00094174
1	2769164	0.00167136	0.000749509
1	2769701	-0.00086487	-0.00808691
1	2790844	0.00116707	-0.00426275
1	2799204	0.00138373	-0.00943111
1	2812467	0.00167136	0.000749509
1	2817262	0.00107392	0.000233099
1	2820549	0.00201554	-0.00958924
1	2824770	0.0018212	-0.000876301
1	2833902	0.00204249	-0.00995517
1	2837653	0.00167136	0.000749509
1	2840766	-0.00315739	-0.00183848
1	2848684	0.00154012	0.00341224
1	2853983	-0.00210649	-0.00155428
1	2856444	-0.00140459	-0.0109867
1	2859590	0.00167136	0.000749509
1	2865612	-0.00140459	-0.0109885
1	2876132	0.00232518	-0.000538037
1	2883197	0.0022966	-0.000732099
1	2886442	0.00133195	0.00271613
1	2889586	0.000797234	-0.0101296
1	2892627	0.00334768	-0.00173606
1	2899429	0.00161661	0.00251764
1	2903152	0.00137324	-0.00991263
1	2907493	0.00137324	-0.00991263
1	2923974	0.00251628	-0.000735993
1	2926883	-0.00126505	-0.00319063
1	2931328	8.26E-05	0.0028425
1	2936612	-0.00181571	-0.00811679
1	2946268	0.00258706	-0.000858788
1	2952000	-0.00289858	-0.00495668
1	2957562	-0.00121181	-0.0112991
1	2966455	-0.00166827	0.00293835
1	2967638	-0.000497749	-0.00129836
1	2970645	-0.000281801	0.00340328
1	2973430	-0.00107832	0.00318211
1	2974184	-0.00119274	0.00318211
1	2975582	-0.0012247	0.00306202
1	2980278	-0.000366419	0.003322
1	2981856	-0.000300391	-0.00136252
1	2983080	0.00182591	0.000488328
1	2987651	-0.00147955	-0.00835743
1	2990622	-0.00515689	-0.00264894
1	2994213	-0.00180943	-0.00676083
1	2996976	-0.00405128	-0.00626492
1	2997741	0.00212194	0.00953742
1	2999989	0.00220353	0.00950133
1	3004195	-0.00106705	5.10E-05
1	3006030	0.00220353	0.0092421
1	3006538	0.00149057	0.00867521
1	3007054	0.00220353	0.0092421
1	3010910	-0.00331415	-0.002572
1	3011742	-0.00375327	-0.00654733
1	3012336	-0.00105698	-0.00169478
1	3013538	-0.000959105	0.000585081
1	3014481	-0.00293233	-0.00695218
1	3016459	-0.000676845	0.0102849
1	3017401	-0.00557614	-0.00490893
1	3018314	0.00642405	0.00703062
1	3019898	-0.00571522	-0.00493916
1	3021052	0.00642405	0.00711621
1	3022400	-0.00261054	-0.00287097
1	3024394	0.00381947	0.00677319
1	3026020	-0.00259825	-0.00394951
1	3026992	-0.00100018	0.00549487
1	3028026	-0.00700197	-0.00309815
1	3029662	0.00119088	0.00334969
1	3033433	-0.00438119	0.00100379
1	3036933	-0.00362206	-0.000861046
1	3040594	-0.00169815	0.00733074
1	3043106	-0.00147606	0.00674101
1	3047348	-0.00433992	-0.00100465
1	3047807	-0.00194988	0.00473297
1	3048391	-0.000470046	0.0038974
1	3051470	-0.00194988	0.00473297
1	3056961	0.000729309	0.00446477
1	3057605	-0.00173113	-0.00326157
1	3058587	-0.0007974	-0.00432088
1	3059878	0.00257933	-0.00289414
1	3061005	0.00257933	-0.00289414
1	3061615	0.00257933	-0.00289414
1	3062335	0.000729309	0.00446477
1	3064264	4.46E-05	0.00445467
1	3066172	0.000508596	0.00565744
1	3067330	0.000508596	0.00565744
1	3069718	0.000643709	0.00316532
1	3072923	0.000643709	0.00316532
1	3074019	-0.00277622	-0.000815402
1	3076542	0.00263135	-0.00313094
1	3078254	-0.00178373	-0.00274441
1	3078703	0.000643709	0.00316532
1	3081314	0.00169171	0.00288468
1	3088151	0.000556413	-0.00222893
1	3092893	0.00191594	0.00239184
1	3099051	0.00169171	0.00331469
1	3101856	-0.00137416	6.14E-06
1	3108736	0.00286345	-0.0065739
1	3113476	0.00340617	-0.0033734
1	3114612	-0.0068655	-0.00581969
1	3118286	0.00340617	-0.0033734
1	3118951	-0.00284972	-0.00307905
1	3119537	-0.00300494	-0.00199512
1	3120304	0.00729178	-0.0134373
1	3123646	0.00489093	-0.0117405
1	3125321	-0.00708588	-0.00294269
1	3127014	0.00598847	-0.00688698
1	3127796	-0.00266599	-0.00304301
1	3128547	-0.00266599	-0.00304301
1	3129185	-0.00266599	-0.00304301
1	3130972	-0.00504804	-0.000967362
1	3131867	-0.00504804	-0.000967362
1	3133644	-0.00504804	-0.000967362
1	3134580	-0.0112438	0.00351372
1	3135408	-0.00504804	-0.000967362
1	3136274	-0.00504804	-0.000967362
1	3136967	-0.0112438	0.00351372
1	3137662	-0.00504804	-0.000967362
1	3138455	-0.00806899	0.00262319
1	3139149	-0.00504804	-0.000967362
1	3140099	-0.0035537	-0.00310624
1	3140986	0.00301479	-0.00443297
1	3141764	-0.0035537	-0.00310624
1	3142372	-0.000667906	-0.00240504
1	3144779	-0.00651424	-0.00252379
1	3147141	-0.00441052	0.00183143
1	3147689	0.00221591	0.00525991
1	3149480	0.00385429	-0.00303083
1	3151844	-0.00238262	0.00180813
1	3152641	-0.00326725	0.00101831
1	3153221	-0.00491874	-0.00254365
1	3158066	0.000858527	-0.000482726
1	3159619	-0.00491874	-0.00254365
1	3160224	-0.00491874	-0.00254365
1	3160824	-0.000435847	-3.02E-05
1	3161869	-0.00391947	-0.00141381
1	3167586	0.00227376	0.00180458
1	3170073	-0.00153971	-0.001923
1	3172295	0.0030249	0.0120232
1	3174118	-0.00153971	-0.001923
1	3175831	-0.00153971	-0.001923
1	3179438	0.000858527	-0.000482726
1	3182687	-0.00153971	-0.001923
1	3184386	-0.00491874	-0.00254365
1	3185901	0.00178517	0.000559717
1	3187763	-0.00195478	0.000740675
1	3188350	-0.00198754	0.000820134
1	3189706	-0.00121452	0.00116693
1	3190676	-0.0015591	0.000358937
1	3192208	0.00154675	0.000684544
1	3193143	-0.00119597	-0.000114533
1	3195860	-0.000804796	0.00150058
1	3198004	0.000897873	0.00319433
1	3204171	-0.002758	-0.000702655
1	3205108	3.23E-05	0.0032719
1	3205820	-0.00508404	0.00459965
1	3206855	-0.00241832	-0.000702655
1	3208431	-0.00207871	0.000749891
1	3209560	0.00213934	-0.000986501
1	3210484	0.00246737	-0.000986501
1	3211445	-0.0020898	0.000347293
1	3214868	-0.00899375	-2.37E-05
1	3223919	-0.00887311	0.00212904
1	3230359	0.000852381	-0.0016002
1	3234527	-0.00290721	0.00237139
1	3235805	-0.00290721	0.00237139
1	3239130	0.00207261	0.00331752
1	3242697	-0.00651036	-0.00169567
1	3243390	-0.00651036	-0.00169567
1	3245141	-0.00411237	0.00148166
1	3246011	-0.00651036	-0.00169567
1	3247239	0.00381433	0.00343364
1	3250506	0.00373261	0.00322334
1	3259694	-0.00456316	0.00292893
1	3260370	0.00105051	0.000416435
1	3260909	0.000967345	0.000416435
1	3261757	0.00383843	-0.000820153
1	3262859	0.000999515	-0.00101146
1	3263609	0.000449802	0.000416435
1	3264758	0.000867962	0.00181034
1	3267454	0.00225272	-0.000595988
1	3276544	0.00239173	-0.00392988
1	3279233	0.00315318	0.00111212
1	3280222	0.00287083	0.00108151
1	3282090	0.00153797	-0.000827996
1	3283746	0.00287083	0.00108151
1	3290224	0.0027112	4.54E-05
1	3293441	0.00203282	-9.89E-05
1	3296794	0.00315536	-0.00047577
1	3299627	0.00336957	-0.000816665
1	3300660	0.000997673	0.00215552
1	3303892	0.000985989	-0.00148142
1	3305139	0.000941474	-0.00148142
1	3306178	0.00169561	-0.00148142
1	3310912	0.0008514	1.38E-05
1	3313010	0.00138536	-0.00230441
1	3315582	0.00308012	-0.00339039
1	3323416	0.000111344	0.000791084
1	3332326	0.00223468	-0.00385042
1	3333094	0.00355958	-0.0071239
1	3339918	0.000655861	-0.000162394
1	3352717	-0.00201866	0.00194767
1	3358780	-0.00140929	-0.00193235
1	3359968	0.00285879	-0.00338716
1	3361607	-0.00358901	-0.00484338
1	3363236	0.000858673	-0.00079404
1	3366622	-0.00019387	-0.00114085
1	3370777	-0.00358901	-0.00484338
1	3377460	0.00285879	-0.00338716
1	3379063	-0.00307444	0.000730847
1	3381579	0.00348774	-0.00323524
1	3386752	0.00215405	-0.00556981
1	3387354	-0.00175643	-0.00370629
1	3388764	-0.00310466	-0.00194934
1	3389765	-0.00501215	-0.00219563
1	3393271	0.00173789	-0.00408718
1	3400300	-0.000819561	0.00212687
1	3401191	-0.00171936	-0.00305284
1	3403864	-0.000819561	0.00212687
1	3409942	-0.00178695	0.00214608
1	3414002	-0.00214863	0.00214608
1	3415343	-0.00303081	0.00115067
1	3418835	-0.00484069	-0.00121246
1	3425621	0.00965372	-0.00671978
1	3426355	0.00961181	-0.00705204
1	3430450	-0.00750653	0.00396494
1	3431611	0.00961181	-0.00705204
1	3433143	0.00317163	-0.00126712
1	3433896	0.00896131	-0.00705204
1	3434539	0.00157896	-0.00430184
1	3439042	0.00906726	-0.00979748
1	3444984	0.00906726	-0.00979748
1	3446751	-0.00221878	-0.00287144
1	3453310	-0.00221878	-0.00287144
1	3454024	0.00846479	-0.00981549
1	3459243	0.00458764	-0.00705313
1	3462385	0.00404562	-0.00391426
1	3467325	-0.00213717	-0.00616982
1	3469452	0.000946269	0.00306749
1	3470316	0.00507217	0.000679069
1	3471349	0.00274104	-0.00560723
1	3472461	-0.00105269	-0.00426993
1	3474353	0.00032667	0.00242864
1	3474957	9.24E-05	0.00303274
1	3475914	9.24E-05	0.00303274
1	3476698	0.00200724	0.0022689
1	3477637	0.00507217	0.000679069
1	3478487	0.00032667	0.00249977
1	3479402	0.00507217	0.000679069
1	3480350	-0.000328146	0.00303274
1	3481082	-0.000328146	0.0032202
1	3482746	0.00127964	-0.00861306
1	3483574	0.00343533	0.00119206
1	3487080	0.00865782	-0.00411322
1	3487842	0.00136359	-0.00132983
1	3489014	0.0075388	-0.00221366
1	3489806	0.0093044	-0.00295518
1	3492221	-0.00154578	-0.00112238
1	3499117	0.000367377	-0.00525529
1	3500633	-0.000259942	-0.00525529
1	3504642	-0.000277819	0.00358055
1	3507357	0.000379797	-0.00187407
1	3510080	0.00038072	-0.00187407
1	3512585	0.00118852	0.00412566
1	3514683	0.0122971	0.00504495
1	3515685	-0.000244504	-0.00292921
1	3516376	0.00336291	0.000567543
1	3520298	-9.75E-05	-0.00239167
1	3526012	-9.75E-05	-0.00239167
1	3526809	-9.75E-05	-0.00239167
1	3529742	-9.75E-05	-0.00239167
1	3530499	-0.00235546	-5.14E-05
1	3531671	0.00257176	0.00236696
1	3533462	-0.00156295	8.45E-05
1	3534783	0.00292313	-0.00137795
1	3538224	-0.000132698	-0.00171519
1	3543818	0.000520232	-0.00050729
1	3546524	-0.00157515	1.84E-05
1	3549651	0.00121772	-0.00234771
1	3555308	-0.00140458	5.72E-05
1	3560291	-0.00133454	-0.00502747
1	3562822	-0.00317667	-9.51E-05
1	3565545	-0.00133454	-0.00502747
1	3568742	-0.0017684	0.000238722
1	3571578	-0.00202925	-0.00521847
1	3574195	0.000923417	-0.00206429
1	3575427	0.0044879	-0.0035773
1	3579296	0.000408314	0.00130511
1	3581059	-0.00628344	0.0124279
1	3587305	0.00330799	-0.00136712
1	3590926	0.00433577	-0.0030885
1	3595729	0.00550806	0.000122479
1	3597939	-0.00782027	0.0150803
1	3598843	-0.00354446	0.0109325
